"System","Debt (Mg C/ha)","Parity (yr)","P(never)","Payback (yr)","Net benefit at 40 yr (Mg C/ha)"
"Prosopis rangeland","10.2","not reached","56%","not reached","-3.3 (-18.1 to 12.1)"
"Cheatgrass steppe","0.4","28 (6-187)","19%","20","0.0 (-1.2 to 1.1)"
"Tidal marsh","9.5","not reached","96%","not reached","-39.1 (-91.1 to 0.5)"
"Dry deciduous forest","1.7","5 (1-71)","19%","5","5.7 (-7.6 to 24.1)"
"Atlantic Forest regrowth","45.4","21 (9-90)","1%","20","25.5 (-27.0 to 81.3)"
"Everglades wetland","51.0","not reached","86%","not reached","-44.3 (-98.2 to 11.7)"
"Tropical freshwater","3.8","not reached","70%","not reached","-2.2 (-9.4 to 5.2)"
