"fraction","k_obs","k_study","lnRR","se","ci_lb","ci_ub","pval","pct","pct_lb","pct_ub","I2"
"SOC",104,35,0.185574582060057,0.118921577830114,-0.0475074274716442,0.418656591591757,0.118646813754403,20.390998651377,-4.63966097558185,51.9918312430128,99.8888774048803
"TC",42,15,-0.0892228215958131,0.101007750237794,-0.287194374221307,0.108748731029681,0.377059894677594,-8.53582510670652,-24.9634137119057,11.4882179846489,99.0967986155147
"POC",34,11,-0.452069210171279,0.190110792124812,-0.824679515808291,-0.079458904534266,0.0174103654939898,-36.3689870931945,-56.1624537639724,-7.6384024382624,99.2605584408394
"MAOC",10,5,0.111440746942678,0.171574606829333,-0.224839303104436,0.447720796989791,0.516003798517116,11.7887503790741,-20.135545185242,56.4741754050724,99.6397283724681
"MBC",104,35,0.263183933968303,0.091892653791701,0.083077642092761,0.443290225843845,0.00418279530878095,30.1066007178157,8.66261732032079,55.7824389637586,99.2258984083237
"DOC",68,22,0.15830760400643,0.0938829662396461,-0.0256996285850656,0.342314836597927,0.0917528820769296,17.1526505535043,-2.53722040236525,40.8203581754258,99.5113994653126
"ROC",40,8,0.294429020309206,0.303578549025619,-0.300574002259934,0.889432042878347,0.332115740747922,34.2359679713188,-25.9606888632628,143.374699474426,99.5915796486964
"WSOC",23,6,-0.248999154580608,0.15025395038796,-0.543491485875878,0.0454931767146628,0.097481322522474,-22.0419367542994,-41.9282857060068,4.65438637221864,99.3865932486571
