"System","Initial loss (Mg C/ha)","Break-even (yr)","P(never)","Stock recovery (yr)","Net benefit at 40 yr (Mg C/ha)"
"Prosopis rangeland","11.2","23 (2-110)","38%","23","-0.6 (-16.8 to 16.6)"
"Cheatgrass steppe","0.4","16 (0-158)","40%","16","-0.1 (-2.4 to 2.9)"
"Tidal marsh","4.5","not reached","54%","not reached","-4.4 (-65.7 to 52.7)"
"Dry deciduous forest","1.7","5 (1-71)","19%","5","5.7 (-7.6 to 24.1)"
"Atlantic Forest regrowth","45.4","21 (9-90)","1%","21","25.5 (-27.0 to 81.3)"
"Everglades wetland","51.0","not reached","86%","not reached","-44.3 (-98.2 to 11.7)"
"Tropical freshwater","3.8","not reached","70%","not reached","-2.2 (-9.4 to 5.2)"
