"System","Invader","Region","Functional type","Evidence"
"Prosopis rangeland","Prosopis juliflora","Baringo, Kenya","Woody nitrogen-fixing tree","Quantified"
"Cheatgrass steppe","Bromus tectorum","Great Basin, USA","Annual grass","Quantified"
"Tidal marsh","Phragmites australis","Northeast USA tidal marsh","Wetland graminoid","Indicative"
"Dry deciduous forest","Lantana camara","Madhya Pradesh, India","Thicket-forming shrub","Quantified"
"Atlantic Forest regrowth","Acacia mangium and A. mearnsii","Atlantic Forest, Brazil","Woody nitrogen-fixing tree","Indicative"
"Everglades wetland","Melaleuca quinquenervia","Florida Everglades, USA","Woody wetland tree","Indicative"
"Tropical freshwater","Pontederia crassipes","Tropical and subtropical lakes","Floating aquatic","Indicative"
