"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw"
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","Imperatacylindrica (L.)P.Beauv.","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"ROC","F4","ROC","g/kg","10-20",2.23,0.17,5,1.28,0.15,5,-0.555141508,"10-20"
"R55","Invasion Effects of Solidago canadensis on Soil Nutrients and Active Organic Carbon Components in Reclamation District of Hangzhou Bay Wetland","30.1929","121.0958","field","wetland","P.australis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"ROC","F4","ROC","g/kg","10-20",3.29,0.14,5,1.28,0.15,5,-0.944027487,"10-20"
"R61","The effects of Spartina alterniflora seaward invasion on soil organic carbon fractions, sources and distribution","33.35-33.38","120.30-120.40","field","beach","n/a","n/a","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"ROC","T2","LC","mg/g","0-20",0.38,0.08,3,3,0.11,3,2.066196315,"0-20"
"R31","Seawall construction alters soil carbon and nitrogen dynamics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"WSOC","F3","WSOC","mg/g","0-10",189.461883408071,19.6188,NA,120.5157,17.3767,NA,-0.452362206,"0-10"
"R31","Seawall construction alters soil carbon and nitrogen dymics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"WSOC","F3","WSOC","mg/g","10-20",172.085201793721,11.2108,NA,122.757847533632,4.4843,NA,-0.337786366,"10-20"
"R31","Seawall construction alters soil carbon and nitrogen dymics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"WSOC","F3","WSOC","mg/g","20-30",168.72197309417,5.04484,NA,119.955156950672,8.4081,NA,-0.341082182,"20-30"
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"WSOC","T1","WSOC","mg/kg","0-20",434.64,1.13,NA,23.85,0.71,NA,-2.902733885,"0-20"
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"WSOC","T1","WSOC","mg/kg","20-40",35.82,6.81,NA,38.12,2.95,NA,0.062232682,"20-40"
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"WSOC","T1","WSOC","mg/kg","40-60",35.82,4.75,NA,20.38,0.93,NA,-0.563952369,"40-60"
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"WSOC","T1","WSOC","mg/kg","60-80",35.11,2.99,NA,37.01,2.89,NA,0.052702156,"60-80"
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"WSOC","T1","WSOC","mg/kg","80-100",23.78,3.91,NA,37.93,0.68,NA,0.466897464,"80-100"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"WSOC","T2","WSOC","g/kg","0-10",0.76,0.223606797749979,NA,1.36,0.244948974278318,NA,0.581921545,"0-10"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"WSOC","T2","WSOC","g/kg","10-20",0.44,0.14142135623731,NA,0.67,0.173205080756888,NA,0.420502985,"10-20"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"WSOC","T2","WSOC","g/kg","20-30",0.36,0.14142135623731,NA,0.48,0.14142135623731,NA,0.287682072,"20-30"
"R35","Total and available soil carbon fractions under the perennial grass Cynodon dactylon (L.) Pers and the bioenergy crop Arundo dox L.","28.9587","100.645","field","n/a","Arundodox L.","Poaceae","perennial","Cynodondactylon (L.)Persoon","Poaceae","perennial","invasive",21.5,546,"WSOC","T2","WSOC","g/kg","30-40",0.3,0.14142135623731,NA,0.421,0.14142135623731,NA,0.336472237,"30-40"
"R36","Effects of Spartina Alterniflora Invasion on Soil Physical and Chemical Properties in Wetlands of the Yangtze River","31.25-31.28","121.50-122.05","field","SiltIsland","P.australis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",15.3,1022,"WSOC","T2","WSOC","g/kg","40-50",0.31,0.173205080756888,NA,0.4,0.14142135623731,NA,0.25489225,"40-50"
"R40","Effect of the invasion by Soildago canadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Phaceluruslatifolius (Steud.)Ohwi","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"WSOC","F2","WSOC","g/kg","0-10",0.329809725158562,0.06,5,0.247357293868921,0.02,5,-0.277631737,"0-10"
"R40","Effect of the invasion by Soildago cadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Imperatacylindrica (L.)P.Beauv.","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"WSOC","F2","WSOC","g/kg","0-10",0.417547568710359,0.05,5,0.247357293868921,0.02,5,-0.518793793,"0-10"
"R40","Effect of the invasion by Soildago cadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Phragmitesaustralis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"WSOC","F2","WSOC","g/kg","0-10",0.253699788583509,0.04,5,0.247357293868921,0.02,5,0,"0-10"
"R40","Effect of the invasion by Soildago cadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Phaceluruslatifolius (Steud.)Ohwi","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"WSOC","F2","WSOC","g/kg","10-20",0.321353065539112,0.03,5,0.190274841437632,0.03,5,-0.521296924,"10-20"
"R40","Effect of the invasion by Soildago cadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Imperatacylindrica (L.)P.Beauv.","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"WSOC","F2","WSOC","g/kg","10-20",0.313953488372092,0.05,5,0.190274841437632,0.03,5,-0.489548225,"10-20"
"R40","Effect of the invasion by Soildago cadensis on soil properties in Hangzhou bay wetland and reclamation district","121.0958","30.1929","field","wetland","Phragmitesaustralis","Poaceae","perennial","SolidagocadensisL.","AsteraceaeBercht.&J.Presl","perennial","invasive",16,1273,"WSOC","F2","WSOC","g/kg","10-20",0.271670190274841,0.08,5,0.190274841437632,0.03,5,-0.351397887,"10-20"
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"WSOC","F2","WSOC","mg/kg","0-20",241.825095057034,29.66,9,173.38403041825,18.25,9,-0.332749283,"0-20"
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"WSOC","F2","WSOC","mg/kg","0-20",191.634980988593,15.97,9,132.31939163498,9.13,9,-0.370343198,"0-20"
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"WSOC","F2","WSOC","mg/kg","0-20",474.524714828897,29.66,9,303.422053231939,2.28,9,-0.447185782,"0-20"
"R41","Effects of moso bamboo invasion on soil active organic carbon and nitrogen in a evergreen broad-leaved forest in subtropical China","33.41","120.00","field","forest","Quercusglauca","Fagaceae","n/a","Phyllostachysedulis","Poaceae","annual","invasive",NA,NA,"WSOC","F2","WSOC","mg/kg","0-20",196.197718631178,52.47,9,250.950570342205,20.53,9,0.246119169,"0-20"
