site,system_id,class,class_type,soc,soc_err,soc_disp,soc_n,agc,agc_err,agc_disp,agc_n,source_key,source_note
Baringo Kenya,prosopis,Pristine grassland,reference,49.76,2.28,se,10,6.02,3.17,sd,10,mbaabu2020restoration,"soil organic carbon 0-100 cm from Table 1; aboveground carbon from Supplementary Table S7, carbon fraction 0.47. Chronosequence age greater than 70 years"
Baringo Kenya,prosopis,Restored grassland,restored,44.68,3.77,se,15,3.19,1.55,sd,15,mbaabu2020restoration,"as above. Restored 25-35 years before sampling, which is the basis of the recovery rate used in the parity model"
Baringo Kenya,prosopis,Degraded grassland,degraded,31.52,3.04,se,16,0.69,0.81,sd,16,mbaabu2020restoration,"as above. Chronosequence age greater than 70 years, so this is a persistent state rather than a transient one"
Baringo Kenya,prosopis,Prosopis low density,invaded,36.99,2.51,se,12,3.00,1.68,sd,4,mbaabu2020restoration,"as above. Less than 30 per cent cover, invaded 10-15 years"
Baringo Kenya,prosopis,Prosopis high density,invaded,40.05,1.28,se,10,12.46,6.36,sd,5,mbaabu2020restoration,"as above. Greater than 80 per cent cover, invaded 25-35 years. This is the invaded class used in the parity model"
